source_id,institution,title,url,source_type,checked_date,supports
src-leiden-informatica-history,Leiden University,Annual report 2020,https://www.universiteitleiden.nl/binaries/content/assets/algemeen/over-ons/jaarverslagen/2020/jaarverslag-universiteit-leiden-2020.pdf,official_annual_report,2026-09-12,Part-time Informatica stopped admitting from September 2020; finish-out ended by September 2024.
src-leiden-iro-curriculum,Leiden University,Political Science — IRO courses,https://www.universiteitleiden.nl/binaries/content/assets/sociale-wetenschappen/politieke-wetenschap/voorlichting/courses-bachelor-iro.pdf,official_curriculum,2026-09-12,IRO is a substantively structured English bachelor route taught in The Hague.
src-leiden-law-current,Leiden University,Leiden Law bachelor/current prospectus evidence,https://www.studiegids.universiteitleiden.nl/en/courses/133190/roman-law,official_course_catalogue,2026-09-12,"Current 2025-2026 course is part of Fiscaal Recht, Notarieel Recht and Law bachelor, confirming active programme identities."
src-leiden-mst,Leiden University,OER joint bachelors LST and MST,https://www.organisatiegids.universiteitleiden.nl/binaries/content/assets/science/reglementen/onderwijs/2023-2024/oer-lst-mst_2023-24.pdf,official_regulation,2026-09-12,Molecular Science and Technology is a joint bachelor of Leiden University and TU Delft.
src-leiden-pol-iro,Leiden University,International Exchange Coordinators — Political Science,https://www.student.universiteitleiden.nl/en/your-study-programme/contact-and-advice/exchange-coordinators,official_university_page,2026-09-12,Distinguishes Dutch Political Science specialisations in Leiden from English IRO in The Hague.
src-um-arts,Maastricht University,Bachelor Arts and Culture,https://www.maastrichtuniversity.nl/education/bachelor/programmes/arts-and-culture,official_programme_page,2026-09-12,"Current programme identity is Arts and Culture, English, full-time, Maastricht."
src-um-els,Maastricht University,Bachelor European Law School,https://www.maastrichtuniversity.nl/education/bachelor/programmes/european-law-school,official_programme_page,2026-09-12,"Current European Law School is one English-taught, full-time programme."
src-um-health,Maastricht University,Bachelor Health Sciences,https://www.maastrichtuniversity.nl/education/bachelor/programmes/health-sciences,official_programme_page,2026-09-12,Current Health Sciences is Dutch-taught and full-time.
src-um-msp,Maastricht University,Maastricht Science Programme,https://www.maastrichtuniversity.nl/education/bachelor/programmes/maastricht-science-programme,official_programme_page,2026-09-12,Distinct current Liberal Arts & Sciences science programme in Maastricht.
src-um-psych,Maastricht University,Bachelor Psychology,https://www.maastrichtuniversity.nl/education/bachelor/programmes/psychology,official_programme_page,2026-09-12,One current Psychology programme page with Dutch and English language variants.
src-um-psych-admission,Maastricht University,Psychology — Admission requirements,https://www.maastrichtuniversity.nl/education/bachelor/programmes/psychology/admission-requirements,official_programme_page,2026-09-12,For 2026–2027 applicants may apply to both Dutch and English versions; each has a separate allocation of places.
src-um-rechts,Maastricht University,Rechtsgeleerdheid — Admission & enrolment,https://www.maastrichtuniversity.nl/education/bachelor/programmes/rechtsgeleerdheid/admission-and-enrolment,official_programme_page,2026-09-12,"Current Rechtsgeleerdheid is one Dutch-taught, full-time programme in Maastricht."
src-um-ucm,Maastricht University,University College Maastricht,https://www.maastrichtuniversity.nl/education/bachelor/programmes/university-college-maastricht,official_programme_page,2026-09-12,Distinct current Liberal Arts & Sciences programme in Maastricht.
src-um-ucv,Maastricht University,University College Venlo,https://www.maastrichtuniversity.nl/education/bachelor/programmes/university-college-venlo,official_programme_page,2026-09-12,Distinct current Liberal Arts & Sciences programme in Venlo with its own focus and admissions.
src-um-uss,Maastricht University,Urban Sustainability Studies,https://www.maastrichtuniversity.nl/education/bachelor/programmes/urban-sustainability-studies,official_programme_page,2026-09-12,"Current English, full-time Urban Sustainability Studies programme based in Heerlen and involving study across Europe."
src-um-uss-news,Maastricht University,Open applications for YUFE’s joint bachelor in Urban Sustainability Studies 2026/2027,https://www.maastrichtuniversity.nl/nl/nieuws/open-applications-yufe%E2%80%99s-joint-bachelor-urban-sustainability-studies-20262027,official_news,2026-09-12,"Current YUFE joint bachelor, three years, starting 2026–2027."
src-ou-informatica,Open Universiteit,Bachelor Informatica,https://www.ou.nl/-/bachelor-informatica-bsc-1,official_programme_page,2026-09-12,"Current Bachelor Informatica is Dutch, part-time and 180 EC."
src-pthu-bachelor,Protestant Theological University,OER Bachelor Theologie 2025-2026 Utrecht,https://www.pthu.nl/over-pthu/organisatie/regelingen-en-rechtspositie/oer-bachelor-theologie-2025-2026-utrecht.pdf,official_regulation,2026-09-12,Current bachelor is Dutch-language and at least 180 ECTS.
src-pthu-joint,Protestant Theological University,Examination Boards,https://www.pthu.nl/onderwijs/praktische-informatie/examencommissies.whlink/,official_university_page,2026-09-12,PThU explicitly says the PThU/VU Joint Bachelor is being phased out.
src-pthu-regulations,Protestant Theological University,Regulations and legal position,https://www.pthu.nl/over-pthu/organisatie/regelingen-en-rechtspositie/,official_regulation_index,2026-09-12,2026-2027 has the new PThU Bachelor Theologie; old Joint Bachelor appears in 2024-2025 archive.
src-ru-ips,Radboud University,"Bachelor Islam, Politiek en Samenleving",https://www.ru.nl/opleidingen/bachelors/islam-politiek-en-samenleving,official_programme_page,2026-09-12,"Current student-facing programme/specialisation, Dutch, 180 EC, available full-time and part-time; CROHO 50902."
src-ru-law,Radboud University,Bachelor Rechtsgeleerdheid,https://www.ru.nl/opleidingen/bachelors/rechtsgeleerdheid,official_programme_page,2026-09-12,"One current Bachelor Rechtsgeleerdheid, Dutch, 180 EC, offered full-time and part-time."
src-ru-neir,Radboud University,"Bachelor Nederlands, Europees en Internationaal Recht",https://www.ru.nl/opleidingen/bachelors/nederlands-europees-en-internationaal-recht,official_programme_page,2026-09-12,"Current successor identity: Dutch-taught, full-time, 180 EC, CROHO 57085; previously European Law School."
src-ru-neir-decision,Radboud University,Openbare besluitenlijst week 10 — naamswijziging bachelor European Law School,https://www.ru.nl/over-ons/nieuws/openbare-besluitenlijst-week-10,official_governance_decision,2026-09-12,"Board approved name change from European Law School to Nederlands, Europees en Internationaal Recht effective 1 September 2026."
src-ru-notarial,Radboud University,Bachelor Notarieel Recht,https://www.ru.nl/opleidingen/bachelors/notarieel-recht,official_programme_page,2026-09-12,"One current Bachelor Notarieel Recht, Dutch, 180 EC, offered full-time and part-time."
src-ru-rps,Radboud University,"Bachelor Religie, Politiek en Samenleving",https://www.ru.nl/opleidingen/bachelors/religie-politiek-en-samenleving,official_programme_page,2026-09-12,"Current student-facing programme, Dutch, 180 EC, available full-time and part-time; CROHO 50902."
src-ru-theology,Radboud University,Bachelor Theologie,https://www.ru.nl/opleidingen/bachelors/theologie,official_programme_page,2026-09-12,"One current Bachelor Theologie, Dutch, 180 EC, offered full-time and part-time."
src-tua-bachelor,Theological University Apeldoorn,Bachelor Theologie — study costs,https://www.tua.nl/nl/onderwijs/o/bachelor-theologie/studiekosten,official_programme_page,2026-09-12,Current Bachelor Theologie is 180 EC; current site requires full-time registration for the degree.
src-tua-current,Theological University Apeldoorn,TUA sitemap,https://www.tua.nl/nl/sitemap,official_university_page,2026-09-12,Current 2026 website lists Bachelor Theologie (180 EC) and a 2026-2027 study guide; programme remains active.
src-tilburg-business,Tilburg University,Bedrijfskunde,https://www.tilburguniversity.edu/nl/onderwijs/bacheloropleidingen/bedrijfskunde,official_programme_page,2026-09-12,Current bachelor is three years; 180 EC.
src-tilburg-data,Tilburg University,Data Science (joint degree),https://www.tilburguniversity.edu/education/bachelors-programs/data-science,official_programme_page,2026-09-12,Current joint bachelor of Tilburg University and TU/e; three years and one academic programme.
src-tilburg-data-apply,Tilburg University,Data Science — Application,https://www.tilburguniversity.edu/education/bachelors-programs/data-science/application,official_programme_page,2026-09-12,Application and joint institutional structure for the current Data Science bachelor.
src-tilburg-fiscal,Tilburg University,Fiscale Economie,https://www.tilburguniversity.edu/nl/onderwijs/bacheloropleidingen/fiscale-economie,official_programme_page,2026-09-12,Current Dutch bachelor is three years / 180 EC.
src-tilburg-theology,Tilburg University,Theology BA (Tilburg),https://www.tilburguniversity.edu/education/bachelors-programs/theology,official_programme_page,2026-09-12,"One Theology bachelor family: English in Tilburg, Dutch in Utrecht; also available part-time."
src-tilburg-theology-structure,Tilburg University,Education — Tilburg School of Catholic Theology,https://www.tilburguniversity.edu/about/schools/theology/education,official_programme_page,2026-09-12,Confirms the two location/language variants belong to the School’s Theology bachelor.
src-uva-actuarial,University of Amsterdam,Actuarial Science — study programme,https://www.uva.nl/en/programmes/bachelors/actuarial-science/study-programme/study-programme.html,official_programme_page,2026-09-12,Dutch and English tracks are identical in level and content.
src-uva-ancient,University of Amsterdam,Ancient Studies,https://www.uva.nl/en/programmes/bachelors/ancient-studies/ancient-studies.html,official_programme_page,2026-09-12,One Ancient Studies/Oudheidwetenschappen programme with Dutch and English tracks.
src-uva-anthro,University of Amsterdam,Cultural Anthropology and Development Sociology — study programme,https://www.uva.nl/en/programmes/bachelors/cultural-anthropology-and-development-sociology/study-programme/study-programme.html,official_programme_page,2026-09-12,English and bilingual tracks take the same courses; differences are language and career-preparation focus.
src-uva-arch,University of Amsterdam,Archaeology,https://www.uva.nl/en/programmes/bachelors/archaeology/index.html,official_programme_page,2026-09-12,One Archaeology programme has Dutch and English tracks.
src-uva-auc,University of Amsterdam,Liberal Arts and Sciences — Amsterdam University College,https://www.uva.nl/en/programmes/bachelors/amsterdam-university-college/amsterdam-university-college.html,official_programme_page,2026-09-12,Current AUC Liberal Arts and Sciences is a 180-ECTS English joint degree.
src-uva-ba,University of Amsterdam,Business Administration,https://www.uva.nl/en/programmes/bachelors/business-administration/business-administration.html,official_programme_page,2026-09-12,Dutch and English tracks are identical in level and content.
src-uva-chem,University of Amsterdam,Scheikunde — study programme,https://www.uva.nl/programmas/bachelors/scheikunde/studieprogramma/studieprogramma.html,official_programme_page,2026-09-12,UvA and VU jointly offer one Scheikunde bachelor.
src-uva-commsci,University of Amsterdam,Communication Science — study programme,https://www.uva.nl/en/programmes/bachelors/communication-science/study-programme/study-programme.html,official_programme_page,2026-09-12,Dutch Communicatiewetenschap and English Global Communication Science share core theories but differ substantively in application/focus.
src-uva-econometrics,University of Amsterdam,Econometrics and Data Science — study programme,https://www.uva.nl/en/programmes/bachelors/econometrics-and-data-science/study-programme/study-programme.html,official_programme_page,2026-09-12,Dutch and English tracks are identical in level and content.
src-uva-economics,University of Amsterdam,Economics and Business Economics — study programme,https://www.uva.nl/en/programmes/bachelors/economics--business-economics/study-programme/study-programme.html,official_programme_page,2026-09-12,Dutch and English tracks are identical in level and content.
src-uva-european,University of Amsterdam,European Studies,https://www.uva.nl/en/programmes/bachelors/european-studies/european-studies.html,official_programme_page,2026-09-12,One European Studies bachelor with Dutch and English tracks.
src-uva-gacp,University of Amsterdam,"Global Arts, Culture and Politics",https://www.uva.nl/en/programmes/bachelors/global-arts-culture-and-politics/global-arts-culture-and-politics.html,official_programme_page,2026-09-12,Current student-facing programme under legal Cultural Studies/Cultuurwetenschappen; Dutch and English tracks.
src-uva-hgp,University of Amsterdam,Human Geography and Planning,https://www.uva.nl/en/programmes/bachelors/human-geography-and-planning/human-geography-and-planning.html,official_programme_page,2026-09-12,English and bilingual tracks take the same courses; language differs.
src-uva-informatica,University of Amsterdam,Informatica,https://www.uva.nl/programmas/bachelors/informatica/informatica.html,official_programme_page,2026-09-12,"Current standalone Informatica bachelor is Dutch, full-time, 180 EC."
src-uva-informatiekunde,University of Amsterdam,Information Science (Informatiekunde),https://www.uva.nl/programmas/bachelors/informatiekunde/informatiekunde.html,official_programme_page,2026-09-12,"Current standalone Informatiekunde bachelor is Dutch, full-time, 180 EC."
src-uva-joint-physics,University of Amsterdam,Natuur- en Sterrenkunde — study programme,https://www.uva.nl/programmas/bachelors/natuur--en-sterrenkunde/studieprogramma/studieprogramma.html,official_programme_page,2026-09-12,UvA and VU jointly offer one Natuur- en Sterrenkunde bachelor.
src-uva-media,University of Amsterdam,Media and Culture,https://www.uva.nl/en/programmes/bachelors/media-and-culture/media-and-culture.html,official_programme_page,2026-09-12,One Media and Culture bachelor with Dutch and English tracks.
src-uva-ped,University of Amsterdam,Pedagogische wetenschappen,https://www.uva.nl/programmas/bachelors/pedagogische-wetenschappen/pedagogische-wetenschappen.html,official_programme_page,2026-09-12,Current standalone Pedagogische wetenschappen bachelor is a 180-EC Dutch full-time programme.
src-uva-political,University of Amsterdam,Political Science — study programme,https://www.uva.nl/en/programmes/bachelors/political-science/study-programme/study-programme.html,official_programme_page,2026-09-12,English and bilingual Dutch-English tracks have the same content; language differs.
src-uva-psych,University of Amsterdam,Psychology,https://www.uva.nl/en/programmes/bachelors/psychology/psychology.html,official_programme_page,2026-09-12,Dutch and English tracks have the same core content; Dutch has one additional specialisation.
src-uva-soc,University of Amsterdam,Sociology,https://www.uva.nl/en/programmes/bachelors/sociology/sociology.html,official_programme_page,2026-09-12,English and bilingual tracks have the same content; language differs.
src-uva-upva,University of Amsterdam,Universitaire Pabo van Amsterdam — admission,https://www.uva.nl/programmas/bachelors/universitaire-pabo-van-amsterdam/toelating-en-inschrijven/toelating-en-inschrijven.html,official_programme_page,2026-09-12,The UPvA double bachelor requires enrolment in Pedagogische wetenschappen – Vrije Opleiding as an administrative component.
src-uva-wiskunde,University of Amsterdam,Wiskunde,https://www.uva.nl/programmas/bachelors/wiskunde/wiskunde.html,official_programme_page,2026-09-12,"Current standalone Wiskunde bachelor is Dutch, full-time, 180 EC."
src-rug-acm,University of Groningen,"Arts, Culture and Media",https://www.rug.nl/bachelors/arts-culture-and-media/?lang=en,official_programme_page,2026-09-12,"Current programme is English-taught, full-time, 180 EC."
src-rug-cis,University of Groningen,Communication and Information Studies,https://www.rug.nl/bachelors/communication-and-information-studies/?lang=en,official_programme_page,2026-09-12,Current programme supports the language-variant normalization.
src-rug-dutch,University of Groningen,Nederlandse Talen en Culturen,https://www.rug.nl/bachelors/dutch-languages-and-cultures/,official_programme_page,2026-09-12,Current successor umbrella programme includes Nederlandse Taal en Cultuur as a specialization.
src-rug-etcp,University of Groningen,"European Languages, Cultures and Politics",https://www.rug.nl/bachelors/european-languages-cultures-and-politics/?lang=en,official_programme_page,2026-09-12,One programme taught in Dutch and English; many seminars offered in both.
src-rug-history,University of Groningen,History,https://www.rug.nl/bachelors/history/?lang=en,official_programme_page,2026-09-12,One History bachelor available full-time/part-time and with Dutch/international language tracks; no separate part-time curriculum.
src-rug-infosci,University of Groningen,Information Science,https://www.rug.nl/bachelors/information-science/?lang=en,official_programme_page,2026-09-12,Programme is active and accepts applications for September 2027.
src-rug-law,University of Groningen,Rechtsgeleerdheid,https://www.rug.nl/bachelors/law/,official_programme_page,2026-09-12,Same first-year courses in Groningen and Leeuwarden; all students continue in Groningen after year 1.
src-rug-mm,University of Groningen,Bachelor Minorities & Multilingualism discontinued,https://www.rug.nl/let/onze-faculteit/actueel/nieuwsberichten-2024/bachelor-minorities-multilingualism-discontinued,official_news,2026-09-12,Programme is being phased out from 2025-2026; existing students can complete.
src-rug-psych,University of Groningen,Psychology (EN),https://www.rug.nl/bachelors/psychology-en/?lang=en,official_programme_page,2026-09-12,"Dutch and English programmes are identical in content, with only slight elective differences."
src-rug-religion,University of Groningen,Religious Studies,https://www.rug.nl/bachelors/religious-studies/?lang=en,official_programme_page,2026-09-12,Current programme is 180 EC and taught in English.
src-ut-civil,University of Twente,Civil Engineering — Bachelor curriculum,https://www.utwente.nl/en/ce/bachelor-ce/,official_curriculum,2026-09-12,Current Civil Engineering bachelor is 180 EC over three academic years.
src-vu-anthro,VU Amsterdam,Cultural Anthropology and Development Sociology,https://vu.nl/en/education/bachelor/cultural-anthropology-and-development-sociology,official_programme_page,2026-09-12,One current bachelor; English and Dutch/bilingual delivery are language variants.
src-vu-biomed,VU Amsterdam,Biomedical Sciences — Admissions,https://vu.nl/en/education/bachelor/biomedical-sciences/Admissions,official_programme_page,2026-09-12,Programme is active for 2026-2027; language changes from English to Dutch and numerus fixus ends.
src-vu-business-analytics,VU Amsterdam,Business Analytics — Admissions,https://vu.nl/en/education/bachelor/business-analytics/admissions,official_programme_page,2026-09-12,"Part-time students attend the same scheduled classes as full-time students; delivery mode differs, not academic target."
src-vu-commsci,VU Amsterdam,Communication Science,https://vu.nl/en/education/bachelor/communication-science,official_programme_page,2026-09-12,Current English Communication Science programme links to Dutch Communicatiewetenschap as language version of the same degree.
src-vu-mathematics,VU Amsterdam,Mathematics — Curriculum,https://vu.nl/en/education/bachelor/mathematics/Curriculum,official_programme_page,2026-09-12,"Part-time Mathematics follows the same courses as full-time, at a lower annual load."
src-vu-philosophy,VU Amsterdam,Philosophy — Admissions,https://vu.nl/en/education/bachelor/philosophy/admissions,official_programme_page,2026-09-12,One Philosophy bachelor is offered full-time and part-time.
src-vu-pol-en,VU Amsterdam,Political Science: Global Politics,https://vu.nl/en/education/bachelor/political-science-global-politics,official_programme_page,2026-09-12,English Global Politics track has a distinct international focus.
src-vu-pol-nl,VU Amsterdam,Politicologie: Nationale Politiek en Bestuur,https://vu.nl/nl/onderwijs/bachelor/politicologie,official_programme_page,2026-09-12,Dutch Nationale Politiek en Bestuur track has a distinct Netherlands-focused profile.
src-wur-tourism,Wageningen University & Research,Bachelor Tourism (joint degree),https://www.wur.nl/en/education/bachelor/bachelors-tourism-joint-degree,official_programme_page,2026-09-12,Current three-year English joint academic degree of WUR and Breda University of Applied Sciences.
