source_interest_excel_row,source_excel_row,OPLEIDINGSEENHEIDCODE,ONDERWIJSAANBIEDER_NAAM,ERKENDEOPLEIDINGSCODE,NAAM_LANG,student_interest,evidence,source_title,source_url,strength,interest_relationship,counselor_programme_id,target_mapping_status
21,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,evaluating whether crime policies actually work,Students investigate the intended and unintended consequences and real-world effectiveness of crime and safety policies.,Criminologie — study programme and application exercise,https://www.eur.nl/bachelor/criminologie/studieprogramma,Explicit,Curricular topic,cp-000008,mapped
22,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,media portrayals of crime and moral panics,The programme's prospective-student exercise asks whether reporting on youth knife violence displays the characteristics of a moral panic.,Criminologie — study programme and application exercise,https://www.eur.nl/bachelor/criminologie/studieprogramma,Explicit,Illustrative or temporary topic,cp-000008,mapped
23,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,using statistics and surveys to study crime,"The curriculum explicitly teaches quantitative criminological research, survey methods, and analysis of empirical crime data.",Criminologie — study programme and application exercise,https://www.eur.nl/bachelor/criminologie/studieprogramma,Explicit,Curricular topic,cp-000008,mapped
24,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,interviewing people and conducting qualitative crime research,"The study programme describes qualitative inquiry, interviews, and mixed-method research into crime and justice.",Criminologie — study programme and application exercise,https://www.eur.nl/bachelor/criminologie/studieprogramma,Explicit,Curricular topic,cp-000008,mapped
25,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,European justice and cross-border crime,"The curriculum examines the EU's area of freedom, security and justice, while Europol is listed as a relevant employer.",Criminologie — study programme and application exercise || Criminologie — master's options and careers,https://www.eur.nl/bachelor/criminologie/studieprogramma || https://www.eur.nl/bachelor/criminologie/na-je-studie,Explicit,Curricular topic,cp-000008,mapped
26,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,artificial intelligence,The bachelor's central aim is to study and develop intelligent computer systems using multiple academic disciplines.,Artificial Intelligence — bachelor's programme,https://www.ru.nl/en/education/bachelors/artificial-intelligence,Explicit,Direct programme interest,cp-000031,mapped
27,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,how human thinking works,"Students model human thought processes and study cognitive functions including memory, perception, learning, and language.",Artificial Intelligence — study programme,https://www.ru.nl/en/education/bachelors/artificial-intelligence/study-programme-artificial-intelligence,Explicit,Direct programme interest,cp-000031,mapped
28,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,the brain and neuroscience,The programme explicitly combines AI with neuroscience and explores the brain in increasing depth.,Artificial Intelligence — study programme,https://www.ru.nl/en/education/bachelors/artificial-intelligence/study-programme-artificial-intelligence,Explicit,Direct programme interest,cp-000031,mapped
29,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,cognitive psychology,Psychology is identified as a core disciplinary perspective for understanding intelligence and human cognition.,Artificial Intelligence — bachelor's programme,https://www.ru.nl/en/education/bachelors/artificial-intelligence,Explicit,Direct programme interest,cp-000031,mapped
30,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,building smarter computer programs,The study programme explicitly focuses on modelling cognition and making computer programs more intelligent.,Artificial Intelligence — study programme,https://www.ru.nl/en/education/bachelors/artificial-intelligence/study-programme-artificial-intelligence,Explicit,Direct programme interest,cp-000031,mapped
31,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,robotics and intelligent machines,The programme presents robotics and the development of smarter robots as substantive academic directions.,Artificial Intelligence — bachelor's programme || Artificial Intelligence — study programme,https://www.ru.nl/en/education/bachelors/artificial-intelligence || https://www.ru.nl/en/education/bachelors/artificial-intelligence/study-programme-artificial-intelligence,Explicit,Direct programme interest,cp-000031,mapped
32,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,computer programming,Students progressively develop programming expertise as part of designing and investigating intelligent systems.,Artificial Intelligence — study programme,https://www.ru.nl/en/education/bachelors/artificial-intelligence/study-programme-artificial-intelligence,Explicit,Direct programme interest,cp-000031,mapped
33,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,mathematics for intelligent systems,The programme develops mathematical knowledge as a core foundation for AI and computational modelling.,Artificial Intelligence — study programme,https://www.ru.nl/en/education/bachelors/artificial-intelligence/study-programme-artificial-intelligence,Explicit,Direct programme interest,cp-000031,mapped
34,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,statistics and data analysis,Students deepen statistical skills and learn to use statistics to design and conduct AI-related research.,Artificial Intelligence — study programme,https://www.ru.nl/en/education/bachelors/artificial-intelligence/study-programme-artificial-intelligence,Explicit,Direct programme interest,cp-000031,mapped
35,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,computer models of human cognition,Students explicitly build computer models of thought processes and cognitive functions.,Artificial Intelligence — study programme,https://www.ru.nl/en/education/bachelors/artificial-intelligence/study-programme-artificial-intelligence,Explicit,Direct programme interest,cp-000031,mapped
36,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,neural networks and deep learning,The programme explains neural-network models of cognition and the formal second-year curriculum includes substantial deep-learning study.,Artificial Intelligence — study programme || Artificial Intelligence — second-year study programme,https://www.ru.nl/en/education/bachelors/artificial-intelligence/study-programme-artificial-intelligence || https://www.ru.nl/en/education/bachelors/artificial-intelligence/study-programme-artificial-intelligence/study-programme-bachelor-artificial-intelligence-year-2,Explicit,Direct programme interest,cp-000031,mapped
37,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,how people and machines learn,The programme studies learning as a cognitive function and models such functions computationally.,Artificial Intelligence — study programme,https://www.ru.nl/en/education/bachelors/artificial-intelligence/study-programme-artificial-intelligence,Explicit,Curricular topic,cp-000031,mapped
38,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,human memory and perception,The study programme explicitly identifies memory and observation/perception among the cognitive functions represented in neural-network models.,Artificial Intelligence — study programme,https://www.ru.nl/en/education/bachelors/artificial-intelligence/study-programme-artificial-intelligence,Explicit,Curricular topic,cp-000031,mapped
39,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,"language, linguistics and natural-language processing","Linguistics and language modelling are central programme themes, reinforced by a dedicated natural-language-processing component.",Artificial Intelligence — bachelor's programme || Artificial Intelligence — study programme || Artificial Intelligence — second-year study programme,https://www.ru.nl/en/education/bachelors/artificial-intelligence || https://www.ru.nl/en/education/bachelors/artificial-intelligence/study-programme-artificial-intelligence || https://www.ru.nl/en/education/bachelors/artificial-intelligence/study-programme-artificial-intelligence/study-programme-bachelor-artificial-intelligence-year-2,Explicit,Direct programme interest,cp-000031,mapped
40,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,formal logic and reasoning,The programme identifies logic as a foundational discipline for investigating and building intelligent systems.,Artificial Intelligence — bachelor's programme,https://www.ru.nl/en/education/bachelors/artificial-intelligence,Explicit,Direct programme interest,cp-000031,mapped
41,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,the ethics and philosophy of AI,The study programme states that studying brains and intelligent technology raises ethical questions and questions about humanity.,Artificial Intelligence — study programme,https://www.ru.nl/en/education/bachelors/artificial-intelligence/study-programme-artificial-intelligence,Explicit,Direct programme interest,cp-000031,mapped
42,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,making AI more useful and user-friendly,The programme explicitly connects smarter software with making computer programs more usable for people.,Artificial Intelligence — study programme,https://www.ru.nl/en/education/bachelors/artificial-intelligence/study-programme-artificial-intelligence,Explicit,Direct programme interest,cp-000031,mapped
43,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,designing scientific experiments,The curriculum explicitly teaches experiment design and research techniques in addition to statistics and modelling.,Artificial Intelligence — study programme,https://www.ru.nl/en/education/bachelors/artificial-intelligence/study-programme-artificial-intelligence,Explicit,Direct programme interest,cp-000031,mapped
44,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,independent research into intelligence,Students complete an independently designed and conducted research project as their bachelor's thesis.,Artificial Intelligence — study programme,https://www.ru.nl/en/education/bachelors/artificial-intelligence/study-programme-artificial-intelligence,Explicit,Curricular topic,cp-000031,mapped
45,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,data science,The programme explicitly identifies data scientist as a relevant occupation for its graduates.,What can you do with a bachelor's in Artificial Intelligence?,https://www.ru.nl/en/education/bachelors/artificial-intelligence/what-can-you-do-with-a-bachelors-in-artificial-intelligence,Explicit,Outcome or individual trajectory,cp-000031,mapped
46,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,AI in healthcare,The programme's graduate-outcomes page explicitly identifies healthcare as an employment sector for intelligent-system expertise.,What can you do with a bachelor's in Artificial Intelligence?,https://www.ru.nl/en/education/bachelors/artificial-intelligence/what-can-you-do-with-a-bachelors-in-artificial-intelligence,Explicit,Outcome or individual trajectory,cp-000031,mapped
47,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,AI in transport and financial services,The programme identifies transport and financial services as sectors that need intelligent systems.,What can you do with a bachelor's in Artificial Intelligence?,https://www.ru.nl/en/education/bachelors/artificial-intelligence/what-can-you-do-with-a-bachelors-in-artificial-intelligence,Explicit,Outcome or individual trajectory,cp-000031,mapped
48,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,AI in education,The programme explicitly identifies education as a sector where graduates can apply intelligent systems.,What can you do with a bachelor's in Artificial Intelligence?,https://www.ru.nl/en/education/bachelors/artificial-intelligence/what-can-you-do-with-a-bachelors-in-artificial-intelligence,Explicit,Outcome or individual trajectory,cp-000031,mapped
49,34,1001O6129,Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen,56945,Artificial Intelligence,cognitive neuroscience research,The programme identifies its research master's in Cognitive Neuroscience as a directly connected further-study pathway.,What can you do with a bachelor's in Artificial Intelligence?,https://www.ru.nl/en/education/bachelors/artificial-intelligence/what-can-you-do-with-a-bachelors-in-artificial-intelligence,Explicit,Outcome or individual trajectory,cp-000031,mapped
50,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid","combining earth science, geography and economics","The programme defines its identity as combining earth sciences, geography, and economics to address sustainability problems.","Aarde, Economie en Duurzaamheid — bachelor overview",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid,Explicit,Direct programme interest,cp-000077,mapped
51,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid",climate change and its consequences,The programme explicitly studies the causes and effects of climate change and its consequences for people and landscapes.,"Aarde, Economie en Duurzaamheid — bachelor overview",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid,Explicit,Direct programme interest,cp-000077,mapped
52,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid",adapting to climate change,Climate adaptation is identified as one of the programme's central knowledge areas and practical sustainability challenges.,"Aarde, Economie en Duurzaamheid — bachelor overview",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid,Explicit,Direct programme interest,cp-000077,mapped
53,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid",flooding and flood-risk management,The programme examines floods and practical measures that reduce flood risks; its careers page identifies flood-risk assessment.,"Aarde, Economie en Duurzaamheid — bachelor overview || Aarde, Economie en Duurzaamheid — career opportunities",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid || https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid/toekomst,Explicit,Direct programme interest,cp-000077,mapped
54,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid",drought and water scarcity,The study programme asks how to maintain water and food supplies as climatic conditions become drier.,"Aarde, Economie en Duurzaamheid — study programme",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid/inhoud,Explicit,Direct programme interest,cp-000077,mapped
55,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid",landslides and natural-disaster risk,The programme explicitly discusses landslides and anticipating natural hazards through field-based investigation.,"Aarde, Economie en Duurzaamheid — bachelor overview || Aarde, Economie en Duurzaamheid — study programme",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid || https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid/inhoud,Explicit,Direct programme interest,cp-000077,mapped
56,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid",sustainable land use,The study programme identifies sustainable land use as one of its three recurring substantive themes.,"Aarde, Economie en Duurzaamheid — study programme",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid/inhoud,Explicit,Direct programme interest,cp-000077,mapped
57,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid",food security in a changing climate,The programme explicitly asks how sufficient food can be produced worldwide as the climate becomes drier.,"Aarde, Economie en Duurzaamheid — study programme",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid/inhoud,Explicit,Direct programme interest,cp-000077,mapped
58,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid",protecting nature and biodiversity,"Programme material examines the loss of natural areas, biodiversity, and practical choices for protecting ecosystems.","Aarde, Economie en Duurzaamheid — bachelor overview || Aarde, Economie en Duurzaamheid — study programme",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid || https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid/inhoud,Explicit,Direct programme interest,cp-000077,mapped
59,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid",ecosystem services and their value,The programme explains that students develop sustainability solutions using ecosystem services and economic techniques.,"Aarde, Economie en Duurzaamheid — study programme",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid/inhoud,Explicit,Curricular topic,cp-000077,mapped
60,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid",renewable energy and the energy transition,"Energy transition is a central programme theme, including how to generate energy while protecting landscapes.","Aarde, Economie en Duurzaamheid — bachelor overview || Aarde, Economie en Duurzaamheid — study programme",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid || https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid/inhoud,Explicit,Direct programme interest,cp-000077,mapped
61,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid",natural resources and resource scarcity,The programme identifies energy and natural resources as a recurring focus and examines their sustainable use.,"Aarde, Economie en Duurzaamheid — bachelor overview || Aarde, Economie en Duurzaamheid — study programme",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid || https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid/inhoud,Explicit,Direct programme interest,cp-000077,mapped
62,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid","soil, landscapes and landscape change",Students deepen their earth-science knowledge through explicitly described landscape-development and field-research work.,"Aarde, Economie en Duurzaamheid — study programme",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid/inhoud,Explicit,Curricular topic,cp-000077,mapped
63,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid",hydrology and water management,The programme explicitly identifies hydrology as a substantive area of earth-science study and discusses water-management practice.,"Aarde, Economie en Duurzaamheid — study programme",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid/inhoud,Explicit,Curricular topic,cp-000077,mapped
64,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid",environmental economics,Students use economic techniques to assess sustainability problems and develop realistic environmental solutions.,"Aarde, Economie en Duurzaamheid — study programme",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid/inhoud,Explicit,Direct programme interest,cp-000077,mapped
65,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid",the costs and benefits of sustainability policies,"The programme explicitly evaluates people, their living environment, and the societal costs and benefits of proposed measures.","Aarde, Economie en Duurzaamheid — study programme",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid/inhoud,Explicit,Direct programme interest,cp-000077,mapped
66,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid",balancing environmental and stakeholder interests,"The programme describes weighing competing interests, feasibility, and economic and societal responsibility when choosing sustainability measures.","Aarde, Economie en Duurzaamheid — bachelor overview",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid,Explicit,Direct programme interest,cp-000077,mapped
67,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid",satellite imagery and remote sensing,"The programme highlights satellite imagery, while its curriculum description explicitly states that students learn remote sensing.","Aarde, Economie en Duurzaamheid — bachelor overview || Aarde, Economie en Duurzaamheid — study programme",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid || https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid/inhoud,Explicit,Direct programme interest,cp-000077,mapped
68,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid",GIS and spatial environmental data,"Students are explicitly taught to work with digital spatial data, and the curriculum identifies geospatial analysis and Earth observation.","Aarde, Economie en Duurzaamheid — study programme",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid/inhoud,Explicit,Direct programme interest,cp-000077,mapped
69,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid",AI for environmental challenges,The programme specifically identifies artificial intelligence as an innovative technology used in this sustainability-focused bachelor.,"Aarde, Economie en Duurzaamheid — bachelor overview",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid,Explicit,Direct programme interest,cp-000077,mapped
70,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid",environmental statistics and data analysis,The programme couples innovative environmental data with a substantive second-year statistics and data-analysis component.,"Aarde, Economie en Duurzaamheid — bachelor overview || Aarde, Economie en Duurzaamheid — study programme",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid || https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid/inhoud,Explicit,Curricular topic,cp-000077,mapped
71,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid",environmental field research,"The programme describes applying scientific investigation in the field to flooding, landslides, and sustainability challenges.","Aarde, Economie en Duurzaamheid — bachelor overview",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid,Explicit,Direct programme interest,cp-000077,mapped
72,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid",wildfire risk and changing landscapes,The programme identifies forest fires as a selectable substantive sustainability theme in its Austrian field research.,"Aarde, Economie en Duurzaamheid — study programme",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid/inhoud,Explicit,Illustrative or temporary topic,cp-000077,mapped
73,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid",sustainable tourism in a changing climate,Students can investigate the future of the ski industry as a specific sustainability question during programme field research.,"Aarde, Economie en Duurzaamheid — study programme",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid/inhoud,Explicit,Illustrative or temporary topic,cp-000077,mapped
74,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid",sustainability consulting and environmental policy,"The programme identifies environmental engineering consultancies, water authorities, insurers, and sustainability-oriented policy roles as graduate destinations.","Aarde, Economie en Duurzaamheid — career opportunities",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid/toekomst,Explicit,Outcome or individual trajectory,cp-000077,mapped
75,80,1001O5722,VU - Vrije Universiteit Amsterdam,50668,"Aarde, Economie en Duurzaamheid","dikes, water authorities and flood protection",The programme explicitly identifies dike management at a water authority as a content-linked graduate pathway.,"Aarde, Economie en Duurzaamheid — career opportunities",https://vu.nl/nl/onderwijs/bachelor/aarde-economie-en-duurzaamheid/toekomst,Explicit,Outcome or individual trajectory,cp-000077,mapped
