case_id,institution,source_rows_json,decision_action,provisional_target_group,target_count,canonical_target_names_json,current_status,production_eligible,corrected_attributes_json,rationale,source_ids_json,resolved_date,status
rc-0012,University of Amsterdam,[128],retain_joint_degree_target,uva-vu-auc,1,"[""Liberal Arts and Sciences — Amsterdam University College""]",active,True,"{""study_load_ec"":180,""programme_type"":""joint-degree"",""institutions"":[""University of Amsterdam"",""VU Amsterdam""],""languages"":[""ENG""],""modes"":[""VOLTIJD""]}",Amsterdam University College is a genuine current 180-ECTS joint Liberal Arts and Sciences degree. Retain one joint target.,"[""src-uva-auc""]",2026-09-12,resolved
rc-0013,Maastricht University,[157],merge_offerings_correct_current_metadata,um-rechtsgeleerdheid,1,"[""Rechtsgeleerdheid""]",active,True,"{""study_load_ec"":180,""languages"":[""NLD""],""modes"":[""VOLTIJD""],""stale_source_attribute"":""ENG offering language""}","Current official information establishes one Dutch-taught, full-time Rechtsgeleerdheid programme. Do not split on the registry ENG/NLD offering codes; preserve the English-coded offering as source provenance but normalize the current target to Dutch only.","[""src-um-rechts""]",2026-09-12,resolved
rc-0014,Maastricht University,[160],retain_joint_degree_target,um-yufe-urban-sustainability-studies,1,"[""Urban Sustainability Studies""]",active,True,"{""duration_years"":3,""study_load_ec"":180,""languages"":[""ENG""],""modes"":[""VOLTIJD""],""location"":""Heerlen"",""programme_type"":""joint-degree"",""consortium"":""YUFE"",""first_academic_year"":""2026-2027""}",This is a genuine current joint bachelor rather than a malformed registry row. Retain one target and mark its joint-degree/YUFE structure explicitly so later comparison production does not treat it as an ordinary single-institution bachelor.,"[""src-um-uss"",""src-um-uss-news""]",2026-09-12,resolved
rc-0015,Open Universiteit,[164],fill_missing_core_metadata,ou-informatica,1,"[""Informatica""]",active,True,"{""study_load_ec"":180,""languages"":[""NLD""],""modes"":[""DEELTIJD""]}","The current Open Universiteit Bachelor Informatica is Dutch, part-time and 180 EC. Fill the missing language field.","[""src-ou-informatica""]",2026-09-12,resolved
rc-0016,Protestant Theological University,[169],fill_missing_core_metadata,pthu-theology-utrecht,1,"[""Theologie""]",active,True,"{""study_load_ec"":180,""languages"":[""NLD""],""location"":""Utrecht""}",The current PThU Bachelor Theologie is a Dutch-language programme in Utrecht; fill the missing language metadata.,"[""src-pthu-bachelor""]",2026-09-12,resolved
rc-0017,Protestant Theological University,[170],retain_inactive_joint_target,pthu-vu-joint-theology,1,"[""Theologie (joint degree PThU/VU)""]",teach-out-only,False,"{""programme_type"":""joint-degree"",""institutions"":[""Protestant Theological University"",""VU Amsterdam""],""new_enrolment"":false,""replacement"":""PThU Bachelor Theologie, Utrecht""}","PThU explicitly marks the PThU/VU Joint Bachelor as being phased out, while current regulations list the new PThU Bachelor Theologie. Preserve the joint degree for provenance/teach-out but exclude it from the active queue.","[""src-pthu-joint"",""src-pthu-regulations""]",2026-09-12,resolved
rc-0018,Protestant Theological University,[170],retain_inactive_joint_target,pthu-vu-joint-theology,1,"[""Theologie (joint degree PThU/VU)""]",teach-out-only,False,"{""programme_type"":""joint-degree"",""institutions"":[""Protestant Theological University"",""VU Amsterdam""],""new_enrolment"":false,""replacement"":""PThU Bachelor Theologie, Utrecht""}","PThU explicitly marks the PThU/VU Joint Bachelor as being phased out, while current regulations list the new PThU Bachelor Theologie. Preserve the joint degree for provenance/teach-out but exclude it from the active queue.","[""src-pthu-joint"",""src-pthu-regulations""]",2026-09-12,resolved
rc-0019,Protestant Theological University,[170],retain_inactive_joint_target,pthu-vu-joint-theology,1,"[""Theologie (joint degree PThU/VU)""]",teach-out-only,False,"{""programme_type"":""joint-degree"",""institutions"":[""Protestant Theological University"",""VU Amsterdam""],""new_enrolment"":false,""replacement"":""PThU Bachelor Theologie, Utrecht""}","PThU explicitly marks the PThU/VU Joint Bachelor as being phased out, while current regulations list the new PThU Bachelor Theologie. Preserve the joint degree for provenance/teach-out but exclude it from the active queue.","[""src-pthu-joint"",""src-pthu-regulations""]",2026-09-12,resolved
rc-0020,University of Groningen,[178],merge_language_variants,rug-communication-information-studies,1,"[""Communication and Information Studies""]",active,True,"{""study_load_ec"":180,""languages"":[""ENG"",""NLD""],""modes"":[""VOLTIJD""]}",Treat the language variants as one current academic programme; language is delivery metadata rather than a separate comparison identity.,"[""src-rug-cis""]",2026-09-12,resolved
rc-0021,University of Groningen,[184],merge_language_variants,rug-european-languages-cultures-politics,1,"[""European Languages, Cultures and Politics""]",active,True,"{""study_load_ec"":180,""languages"":[""ENG"",""NLD""],""modes"":[""VOLTIJD""]}","The official programme is one flexible bachelor taught in Dutch and English, with many seminars offered in both languages.","[""src-rug-etcp""]",2026-09-12,resolved
rc-0022,University of Groningen,[189],merge_language_and_delivery_variants,rug-history,1,"[""History / Geschiedenis""]",active,True,"{""study_load_ec"":180,""languages"":[""ENG"",""NLD""],""modes"":[""VOLTIJD"",""DEELTIJD""]}",Groningen offers one History bachelor full-time or part-time with Dutch/international language tracks; there is no separate part-time curriculum.,"[""src-rug-history""]",2026-09-12,resolved
rc-0023,University of Groningen,[195],retain_active_target_ignore_future_lifecycle_marker,rug-information-science,1,"[""Information Science / Informatiekunde""]",active,True,"{""study_load_ec"":180,""modes"":[""VOLTIJD""],""accepting_applications_for"":""2027-09-01""}","Current official admissions accept applications for September 2027, so the raw RIO end/last-intake dates must not be interpreted as present programme closure.","[""src-rug-infosci""]",2026-09-12,resolved
rc-0024,University of Groningen,[200],merge_offerings_correct_current_metadata,rug-arts-culture-media,1,"[""Arts, Culture and Media""]",active,True,"{""study_load_ec"":180,""languages"":[""ENG""],""modes"":[""VOLTIJD""],""stale_source_attribute"":""NLD offering language""}","Current official information identifies one English-taught Arts, Culture and Media bachelor. Preserve any older Dutch-coded offering as provenance, not a separate target.","[""src-rug-acm""]",2026-09-12,resolved
rc-0025,University of Groningen,[208],retain_inactive_target,rug-minorities-multilingualism,1,"[""Minorities & Multilingualism""]",teach-out-only,False,"{""new_enrolment"":false,""phase_out_from"":""2025-2026""}",The faculty officially discontinued the bachelor and is phasing it out; existing students can finish. Retain for provenance but exclude from the active production queue.,"[""src-rug-mm""]",2026-09-12,resolved
rc-0026,University of Groningen,[211],normalize_to_current_successor,rug-dutch-languages-cultures,1,"[""Nederlandse Talen en Culturen — Nederlandse Taal en Cultuur""]",active-successor,True,"{""study_load_ec"":180,""languages"":[""NLD""],""current_programme"":""Nederlandse Talen en Culturen"",""route"":""Nederlandse Taal en Cultuur""}","Normalize the older Nederlandse Taal en Cultuur identity to the current umbrella bachelor Nederlandse Talen en Culturen, retaining Nederlandse Taal en Cultuur as the relevant specialization.","[""src-rug-dutch""]",2026-09-12,resolved
rc-0027,University of Groningen,[216],merge_language_variants,rug-psychology,1,"[""Psychology / Psychologie""]",active,True,"{""study_load_ec"":180,""languages"":[""ENG"",""NLD""],""modes"":[""VOLTIJD""],""minor_difference"":""elective options may differ slightly""}","The university explicitly states that Dutch and English Psychology are identical in content, with only slight elective differences. One counselor target is appropriate.","[""src-rug-psych""]",2026-09-12,resolved
rc-0028,University of Groningen,[217],merge_location_variants,rug-law,1,"[""Rechtsgeleerdheid""]",active,True,"{""study_load_ec"":180,""languages"":[""NLD""],""first_year_locations"":[""Groningen"",""Leeuwarden""],""later_location"":""Groningen""}",The first year can start in Groningen or Leeuwarden with the same courses; from year two all students study in Groningen. This is one academic target.,"[""src-rug-law""]",2026-09-12,resolved
rc-0029,University of Groningen,[218],merge_offerings_correct_current_metadata,rug-religious-studies,1,"[""Religious Studies / Religiewetenschappen""]",active,True,"{""study_load_ec"":180,""languages"":[""ENG""],""modes"":[""VOLTIJD""],""stale_source_attribute"":""NLD offering language""}",Current official programme information says the bachelor is taught entirely in English. Treat an older Dutch-coded offering as stale provenance rather than a separate target.,"[""src-rug-religion""]",2026-09-12,resolved
rc-0030,Tilburg University,[232],fill_missing_core_metadata,tilburg-bedrijfskunde,1,"[""Bedrijfskunde""]",active,True,"{""study_load_ec"":180,""duration_years"":3,""languages"":[""NLD""],""modes"":[""VOLTIJD""]}",Current official programme information establishes a three-year bachelor; normalize the missing study-load field to 180 EC.,"[""src-tilburg-business""]",2026-09-12,resolved
rc-0031,Tilburg University,[247],fill_missing_core_metadata,tilburg-tue-joint-data-science,1,"[""Data Science (joint degree Tilburg University + TU/e)""]",active,True,"{""study_load_ec"":180,""duration_years"":3,""programme_type"":""joint-degree"",""institutions"":[""Tilburg University"",""Eindhoven University of Technology""]}",The missing study-load metadata belongs to the current joint Data Science bachelor. Normalize to one 180-EC joint target shared with the TU/e registry representation.,"[""src-tilburg-data"",""src-tilburg-data-apply""]",2026-09-12,resolved
rc-0032,Tilburg University,[247],retain_joint_degree_target,tilburg-tue-joint-data-science,1,"[""Data Science (joint degree Tilburg University + TU/e)""]",active,True,"{""study_load_ec"":180,""duration_years"":3,""programme_type"":""joint-degree"",""institutions"":[""Tilburg University"",""Eindhoven University of Technology""]}","This is a genuine joint degree, not an anomalous registry row. It should resolve to the same joint counselor target as the TU/e representation.","[""src-tilburg-data"",""src-tue-data""]",2026-09-12,resolved
rc-0033,Tilburg University,[253],fill_missing_core_metadata,tilburg-fiscale-economie,1,"[""Fiscale Economie""]",active,True,"{""study_load_ec"":180,""duration_years"":3,""languages"":[""NLD""],""modes"":[""VOLTIJD""]}",Current official programme information establishes a three-year bachelor; normalize the missing study-load field to 180 EC while preserving any absent registry code as provenance.,"[""src-tilburg-fiscal""]",2026-09-12,resolved
rc-0034,Tilburg University,[257],merge_location_language_delivery_variants,tilburg-theology,1,"[""Theology / Theologie""]",active,True,"{""study_load_ec"":180,""locations"":[""Tilburg"",""Utrecht""],""languages"":[""ENG"",""NLD""],""modes"":[""VOLTIJD"",""DEELTIJD""],""variant_mapping"":{""Tilburg"":""ENG"",""Utrecht"":""NLD""}}","Tilburg University presents one Theology bachelor family delivered in English at Tilburg and Dutch at Utrecht, with part-time options and substantially the same programme. Normalize to one academic target with location/language variants.","[""src-tilburg-theology"",""src-tilburg-theology-structure""]",2026-09-12,resolved
rc-0035,Eindhoven University of Technology,[278],merge_cross_provider_joint_identity,tilburg-tue-joint-data-science,1,"[""Data Science (joint degree Tilburg University + TU/e)""]",active,True,"{""study_load_ec"":180,""programme_type"":""joint-degree"",""institutions"":[""Tilburg University"",""Eindhoven University of Technology""]}","The TU/e Data Science registry representation is the same joint bachelor already represented by Tilburg University. It must map to one shared joint counselor target, not a duplicate comparison.","[""src-tue-data"",""src-tilburg-data""]",2026-09-12,resolved
rc-0036,Eindhoven University of Technology,[281],fill_missing_core_metadata,tue-mechanical-engineering,1,"[""Mechanical Engineering""]",active,True,"{""study_load_ec"":180,""modes"":[""VOLTIJD""]}",TU/e currently operates the Mechanical Engineering bachelor; TU/e bachelor design is 180 credits. Fill the missing study-load metadata and retain one target.,"[""src-tue-me"",""src-tue-bachelor-directive""]",2026-09-12,resolved
rc-0037,Theological University Apeldoorn,[289],retain_active_target_ignore_future_lifecycle_marker,tua-theology,1,"[""Theologie""]",active,True,"{""study_load_ec"":180,""modes"":[""VOLTIJD""]}",The current 2026 TUA site and study-guide infrastructure list Bachelor Theologie (180 EC). The future offering end-date must not be treated as present closure.,"[""src-tua-bachelor"",""src-tua-current""]",2026-09-12,resolved
rc-0038,Leiden University,[298],retain_active_target_correct_lifecycle_interpretation,leiden-criminologie,1,"[""Criminologie""]",active,True,"{""study_load_ec"":180,""modes"":[""VOLTIJD"",""DEELTIJD""]}",The current OER still covers both full-time and part-time Criminologie. A future end date attached to an offering does not make the academic programme currently inactive.,"[""src-leiden-crim-oer""]",2026-09-12,resolved
rc-0039,Leiden University,[307],retain_active_target_correct_lifecycle_interpretation,leiden-fiscaal-recht,1,"[""Fiscaal Recht""]",active,True,"{""study_load_ec"":180,""modes"":[""VOLTIJD"",""DEELTIJD""]}","Fiscaal Recht is a current bachelor. Treat the future date on the part-time offering as delivery-lifecycle metadata, not as closure of the academic target.","[""src-leiden-fiscal""]",2026-09-12,resolved
rc-0040,Leiden University,[312],remove_stale_delivery_variant,leiden-informatica,1,"[""Informatica""]",active,True,"{""study_load_ec"":180,""modes"":[""VOLTIJD""],""current_location"":""Leiden"",""stale_variant"":""DEELTIJD Den Haag"",""part_time_admission_ended"":""2020-09"",""part_time_finish_out_ended"":""2024-09""}",Leiden officially stopped offering the Informatica bachelor part-time from September 2020 and allowed finish-out only through September 2024. Keep one current full-time Leiden target and mark the Den Haag part-time offering stale.,"[""src-leiden-informatica-history""]",2026-09-12,resolved
rc-0041,Leiden University,[321],retain_joint_degree_target,leiden-tud-molecular-science-technology,1,"[""Molecular Science and Technology (joint degree Leiden + TU Delft)""]",active,True,"{""study_load_ec"":180,""programme_type"":""joint-degree"",""institutions"":[""Leiden University"",""Delft University of Technology""],""locations"":[""Leiden"",""Delft""]}",Molecular Science and Technology is a genuine joint bachelor of Leiden University and TU Delft. Retain one joint target and preserve both institutions.,"[""src-leiden-mst""]",2026-09-12,resolved
rc-0042,Leiden University,[325],retain_active_target_correct_lifecycle_interpretation,leiden-notarieel-recht,1,"[""Notarieel Recht""]",active,True,"{""study_load_ec"":180,""modes"":[""VOLTIJD"",""DEELTIJD""]}",Current Leiden course and programme evidence confirms the Notarieel Recht bachelor remains active. Treat any future part-time-offering end date as delivery lifecycle rather than current closure.,"[""src-leiden-law-current""]",2026-09-12,resolved
rc-0043,Leiden University,[328],split_into_distinct_targets,leiden-political-science-two-routes,2,"[""Politicologie"",""Political Science: International Relations and Organisations (IRO)""]",active,True,"{""targets"":[{""name"":""Politicologie"",""location"":""Leiden"",""language"":""NLD""},{""name"":""Political Science: International Relations and Organisations (IRO)"",""location"":""The Hague"",""language"":""ENG""}]}","Leiden explicitly distinguishes Dutch Political Science specialisations in Leiden from the English IRO route in The Hague, whose curriculum has a distinct international-relations structure. Create two targets.","[""src-leiden-pol-iro"",""src-leiden-iro-curriculum""]",2026-09-12,resolved
rc-0044,Leiden University,[330],retain_active_target_correct_lifecycle_interpretation,leiden-rechtsgeleerdheid,1,"[""Rechtsgeleerdheid""]",active,True,"{""study_load_ec"":180,""modes"":[""VOLTIJD"",""DEELTIJD""]}",Rechtsgeleerdheid remains a current Leiden bachelor. Treat the future date on a part-time offering as delivery-lifecycle metadata rather than programme closure.,"[""src-leiden-law-current""]",2026-09-12,resolved
rc-0045,University of Twente,[340],fill_missing_core_metadata,ut-civil-engineering,1,"[""Civil Engineering""]",active,True,"{""study_load_ec"":180,""duration_years"":3}",The current Civil Engineering curriculum is explicitly 180 EC over three years. Fill the missing study-load metadata.,"[""src-ut-civil""]",2026-09-12,resolved
rc-0046,University of Amsterdam,[390],merge_language_variants,uva-actuarial-science,1,"[""Actuarial Science""]",active,True,"{""study_load_ec"":180,""languages"":[""ENG"",""NLD""],""modes"":[""VOLTIJD""]}",Current UvA information treats the Dutch/bilingual and English routes as language variants of one academic bachelor; preserve the language distinction without duplicating the counselor comparison target.,"[""src-uva-actuarial""]",2026-09-12,resolved
rc-0047,University of Amsterdam,[392],merge_language_variants,uva-archaeology,1,"[""Archaeology / Archeologie""]",active,True,"{""study_load_ec"":180,""languages"":[""ENG"",""NLD""],""modes"":[""VOLTIJD""]}",Current UvA information treats the Dutch/bilingual and English routes as language variants of one academic bachelor; preserve the language distinction without duplicating the counselor comparison target.,"[""src-uva-arch""]",2026-09-12,resolved
rc-0048,University of Amsterdam,[395],merge_language_variants,uva-business-administration,1,"[""Business Administration""]",active,True,"{""study_load_ec"":180,""languages"":[""ENG"",""NLD""],""modes"":[""VOLTIJD""]}",Current UvA information treats the Dutch/bilingual and English routes as language variants of one academic bachelor; preserve the language distinction without duplicating the counselor comparison target.,"[""src-uva-ba""]",2026-09-12,resolved
rc-0049,University of Amsterdam,[401],merge_language_variants,uva-cultural-anthropology,1,"[""Cultural Anthropology and Development Sociology""]",active,True,"{""study_load_ec"":180,""languages"":[""ENG"",""NLD""],""modes"":[""VOLTIJD""]}",Current UvA information treats the Dutch/bilingual and English routes as language variants of one academic bachelor; preserve the language distinction without duplicating the counselor comparison target.,"[""src-uva-anthro""]",2026-09-12,resolved
rc-0050,University of Amsterdam,[402],normalize_to_current_identity_and_merge_languages,uva-global-arts-culture-politics,1,"[""Global Arts, Culture and Politics""]",active,True,"{""study_load_ec"":180,""legal_degree"":""Cultural Studies / Cultuurwetenschappen"",""languages"":[""ENG"",""NLD""],""modes"":[""VOLTIJD""],""legacy_name"":""Cultuurwetenschappen""}","Normalize the legal/legacy Cultuurwetenschappen registry name to the current student-facing programme Global Arts, Culture and Politics. The current programme has Dutch and English tracks but one academic identity.","[""src-uva-gacp""]",2026-09-12,resolved
rc-0051,University of Amsterdam,[404],merge_language_variants,uva-econometrics-data-science,1,"[""Econometrics and Data Science""]",active,True,"{""study_load_ec"":180,""languages"":[""ENG"",""NLD""],""modes"":[""VOLTIJD""]}",Current UvA information treats the Dutch/bilingual and English routes as language variants of one academic bachelor; preserve the language distinction without duplicating the counselor comparison target.,"[""src-uva-econometrics""]",2026-09-12,resolved
rc-0052,University of Amsterdam,[405],merge_language_variants,uva-economics-business-economics,1,"[""Economics and Business Economics""]",active,True,"{""study_load_ec"":180,""languages"":[""ENG"",""NLD""],""modes"":[""VOLTIJD""]}",Current UvA information treats the Dutch/bilingual and English routes as language variants of one academic bachelor; preserve the language distinction without duplicating the counselor comparison target.,"[""src-uva-economics""]",2026-09-12,resolved
rc-0053,University of Amsterdam,[407],merge_language_variants,uva-european-studies,1,"[""European Studies""]",active,True,"{""study_load_ec"":180,""languages"":[""ENG"",""NLD""],""modes"":[""VOLTIJD""]}",Current UvA information treats the Dutch/bilingual and English routes as language variants of one academic bachelor; preserve the language distinction without duplicating the counselor comparison target.,"[""src-uva-european""]",2026-09-12,resolved
rc-0054,University of Amsterdam,[429],merge_language_variants,uva-media-culture,1,"[""Media and Culture""]",active,True,"{""study_load_ec"":180,""languages"":[""ENG"",""NLD""],""modes"":[""VOLTIJD""]}",Current UvA information treats the Dutch/bilingual and English routes as language variants of one academic bachelor; preserve the language distinction without duplicating the counselor comparison target.,"[""src-uva-media""]",2026-09-12,resolved
rc-0055,University of Amsterdam,[432],merge_joint_and_administrative_rows_to_single_target,uva-vu-natuur-sterrenkunde,1,"[""Natuur- en Sterrenkunde (joint degree UvA/VU)""]",active,True,"{""study_load_ec"":180,""programme_type"":""joint-degree"",""institutions"":[""University of Amsterdam"",""VU Amsterdam""],""free_programme_row_is_administrative"":true}",UvA and VU jointly offer one Natuur- en Sterrenkunde bachelor. The additional “vrije opleiding” registration row does not create another student-facing academic target.,"[""src-uva-joint-physics""]",2026-09-12,resolved
rc-0056,University of Amsterdam,[433],merge_joint_and_administrative_rows_to_single_target,uva-vu-natuur-sterrenkunde,1,"[""Natuur- en Sterrenkunde (joint degree UvA/VU)""]",active,True,"{""study_load_ec"":180,""programme_type"":""joint-degree"",""institutions"":[""University of Amsterdam"",""VU Amsterdam""],""free_programme_row_is_administrative"":true}",UvA and VU jointly offer one Natuur- en Sterrenkunde bachelor. The additional “vrije opleiding” registration row does not create another student-facing academic target.,"[""src-uva-joint-physics""]",2026-09-12,resolved
rc-0057,University of Amsterdam,[437],merge_language_variants,uva-ancient-studies,1,"[""Ancient Studies / Oudheidwetenschappen""]",active,True,"{""study_load_ec"":180,""languages"":[""ENG"",""NLD""],""modes"":[""VOLTIJD""]}",Current UvA information treats the Dutch/bilingual and English routes as language variants of one academic bachelor; preserve the language distinction without duplicating the counselor comparison target.,"[""src-uva-ancient""]",2026-09-12,resolved
rc-0058,University of Amsterdam,[440],merge_language_variants,uva-political-science,1,"[""Political Science / Politicologie""]",active,True,"{""study_load_ec"":180,""languages"":[""ENG"",""NLD""],""modes"":[""VOLTIJD""]}",Current UvA information treats the Dutch/bilingual and English routes as language variants of one academic bachelor; preserve the language distinction without duplicating the counselor comparison target.,"[""src-uva-political""]",2026-09-12,resolved
rc-0059,University of Amsterdam,[443],merge_language_variants,uva-psychology,1,"[""Psychology / Psychologie""]",active,True,"{""study_load_ec"":180,""languages"":[""ENG"",""NLD""],""modes"":[""VOLTIJD""],""note"":""Dutch track has one additional specialisation""}",Current UvA information treats the Dutch/bilingual and English routes as language variants of one academic bachelor; preserve the language distinction without duplicating the counselor comparison target.,"[""src-uva-psych""]",2026-09-12,resolved
rc-0060,University of Amsterdam,[447],merge_joint_and_administrative_rows_to_single_target,uva-vu-scheikunde,1,"[""Scheikunde (joint degree UvA/VU)""]",active,True,"{""study_load_ec"":180,""programme_type"":""joint-degree"",""institutions"":[""University of Amsterdam"",""VU Amsterdam""],""free_programme_row_is_administrative"":true}",UvA and VU jointly offer one Scheikunde bachelor. The “vrije opleiding” registration row is administrative and should not generate a duplicate counselor target.,"[""src-uva-chem""]",2026-09-12,resolved
rc-0061,University of Amsterdam,[448],merge_joint_and_administrative_rows_to_single_target,uva-vu-scheikunde,1,"[""Scheikunde (joint degree UvA/VU)""]",active,True,"{""study_load_ec"":180,""programme_type"":""joint-degree"",""institutions"":[""University of Amsterdam"",""VU Amsterdam""],""free_programme_row_is_administrative"":true}",UvA and VU jointly offer one Scheikunde bachelor. The “vrije opleiding” registration row is administrative and should not generate a duplicate counselor target.,"[""src-uva-chem""]",2026-09-12,resolved
rc-0062,University of Amsterdam,[451],merge_language_variants,uva-human-geography-planning,1,"[""Human Geography and Planning / Sociale Geografie en Planologie""]",active,True,"{""study_load_ec"":180,""languages"":[""ENG"",""NLD""],""modes"":[""VOLTIJD""]}",Current UvA information treats the Dutch/bilingual and English routes as language variants of one academic bachelor; preserve the language distinction without duplicating the counselor comparison target.,"[""src-uva-hgp""]",2026-09-12,resolved
rc-0063,University of Amsterdam,[452],merge_language_variants,uva-sociology,1,"[""Sociology / Sociologie""]",active,True,"{""study_load_ec"":180,""languages"":[""ENG"",""NLD""],""modes"":[""VOLTIJD""]}",Current UvA information treats the Dutch/bilingual and English routes as language variants of one academic bachelor; preserve the language distinction without duplicating the counselor comparison target.,"[""src-uva-soc""]",2026-09-12,resolved
rc-0064,Wageningen University & Research,[479],retain_joint_degree_target,wur-buas-tourism,1,"[""Tourism (joint degree WUR + Breda University of Applied Sciences)""]",active,True,"{""study_load_ec"":180,""duration_years"":3,""languages"":[""ENG""],""modes"":[""VOLTIJD""],""locations"":[""Breda"",""Wageningen""],""programme_type"":""joint-degree"",""institutions"":[""Wageningen University & Research"",""Breda University of Applied Sciences""]}",This is a genuine current three-year English joint academic degree. Correct the stale Dutch-language registry value and retain one joint target with both institutions.,"[""src-wur-tourism""]",2026-09-12,resolved
